Lepirudin,drug2gene,F2
Cetuximab,drug2gene,EGFR
Denileukin diftitox,drug2gene,IL2RA
Denileukin diftitox,drug2gene,IL2RB
Etanercept,drug2gene,TNF
Etanercept,drug2gene,LTA
Bivalirudin,drug2gene,F2
Leuprolide,drug2gene,GNRHR
Peginterferon alfa-2a,drug2gene,IFNAR2
Peginterferon alfa-2a,drug2gene,IFNAR1
Alteplase,drug2gene,PLG
Alteplase,drug2gene,FGA
Alteplase,drug2gene,FGG
Sermorelin,drug2gene,GHRHR
Interferon alfa-n1,drug2gene,IFNAR1
Interferon alfa-n1,drug2gene,IFNAR2
Darbepoetin alfa,drug2gene,EPOR
Urokinase,drug2gene,PLG
Urokinase,drug2gene,PLAUR
Urokinase,drug2gene,SERPINE1
Urokinase,drug2gene,SERPINB2
Goserelin,drug2gene,LHCGR
Goserelin,drug2gene,GNRHR
Reteplase,drug2gene,PLG
Reteplase,drug2gene,FGA
Erythropoietin,drug2gene,EPOR
Interferon alfa-n3,drug2gene,IFNAR1
Interferon alfa-n3,drug2gene,IFNAR2
Pegfilgrastim,drug2gene,CSF3R
Sargramostim,drug2gene,CSF2RA
Sargramostim,drug2gene,IL3RA
Sargramostim,drug2gene,CSF2RB
Peginterferon alfa-2b,drug2gene,IFNAR1
Peginterferon alfa-2b,drug2gene,IFNAR2
Thyrotropin alfa,drug2gene,TSHR
Antihemophilic factor, human recombinant,drug2gene,F10
Antihemophilic factor, human recombinant,drug2gene,F9
Antihemophilic factor, human recombinant,drug2gene,VWF
Anakinra,drug2gene,IL1R1
Human immunoglobulin G,drug2gene,FCGR1A
Human immunoglobulin G,drug2gene,FCGR1B
Human immunoglobulin G,drug2gene,FCGR2A
Human immunoglobulin G,drug2gene,FCGR2B
Human immunoglobulin G,drug2gene,FCGR2C
Human immunoglobulin G,drug2gene,FCGR3A
Human immunoglobulin G,drug2gene,FCGR3B
Human immunoglobulin G,drug2gene,C3
Human immunoglobulin G,drug2gene,C4A
Human immunoglobulin G,drug2gene,C4B
Human immunoglobulin G,drug2gene,C5
Anistreplase,drug2gene,PLG
Anistreplase,drug2gene,FGA
Insulin human,drug2gene,INSR
Tenecteplase,drug2gene,PLG
Tenecteplase,drug2gene,FGA
Menotropins,drug2gene,FSHR
Menotropins,drug2gene,LHCGR
Interferon gamma-1b,drug2gene,IFNGR1
Interferon gamma-1b,drug2gene,IFNGR2
Interferon alfa-2a,drug2gene,IFNAR1
Interferon alfa-2a,drug2gene,IFNAR2
Desmopressin,drug2gene,AVPR2
Desmopressin,drug2gene,AVPR1A
Desmopressin,drug2gene,AVPR1B
Oprelvekin,drug2gene,IL11RA
Palifermin,drug2gene,FGFR2
Glucagon,drug2gene,GCGR
Aldesleukin,drug2gene,IL2RB
Aldesleukin,drug2gene,IL2RA
Aldesleukin,drug2gene,IL2RG
Botulinum toxin type B,drug2gene,VAMP2
Botulinum toxin type B,drug2gene,VAMP1
Botulinum toxin type B,drug2gene,SYT2
Omalizumab,drug2gene,FCER1A
Omalizumab,drug2gene,MS4A2
Lutropin alfa,drug2gene,LHCGR
Lyme disease vaccine (recombinant OspA),drug2gene,TLR2
Insulin lispro,drug2gene,INSR
Insulin glargine,drug2gene,INSR
Collagenase clostridium histolyticum,drug2gene,COL1A1
Collagenase clostridium histolyticum,drug2gene,COL2A1
Collagenase clostridium histolyticum,drug2gene,COL3A1
Cetrorelix,drug2gene,GNRHR
Adalimumab,drug2gene,TNF
Somatotropin,drug2gene,GHR
Somatotropin,drug2gene,PRLR
Abciximab,drug2gene,ITGB3
Abciximab,drug2gene,ITGA2B
Drotrecogin alfa,drug2gene,F8
Drotrecogin alfa,drug2gene,F5
Gemtuzumab ozogamicin,drug2gene,CD33
Alpha-1-proteinase inhibitor,drug2gene,ELANE
Interferon beta-1a,drug2gene,IFNAR1
Interferon beta-1a,drug2gene,IFNAR2
Eptifibatide,drug2gene,ITGB3
Infliximab,drug2gene,TNF
Follitropin,drug2gene,FSHR
Vasopressin,drug2gene,AVPR2
Vasopressin,drug2gene,AVPR1A
Vasopressin,drug2gene,AVPR1B
Vasopressin,drug2gene,OXTR
Interferon beta-1b,drug2gene,IFNAR1
Interferon beta-1b,drug2gene,IFNAR2
Interferon alfacon-1,drug2gene,IFNAR1
Interferon alfacon-1,drug2gene,IFNAR2
Insulin pork,drug2gene,INSR
Trastuzumab,drug2gene,ERBB2
Rituximab,drug2gene,MS4A1
Basiliximab,drug2gene,IL2RA
Muromonab,drug2gene,CD3D
Muromonab,drug2gene,CD3E
Muromonab,drug2gene,CD3G
Muromonab,drug2gene,CD247
Ibritumomab tiuxetan,drug2gene,MS4A1
Tositumomab,drug2gene,MS4A1
Pegvisomant,drug2gene,GHR
Botulinum toxin type A,drug2gene,SNAP25
Streptokinase,drug2gene,PLG
Alemtuzumab,drug2gene,CD52
Capromab pendetide,drug2gene,FOLH1
Cyclosporine,drug2gene,CAMLG
Cyclosporine,drug2gene,PPP3R2
Cyclosporine,drug2gene,PPIA
Cyclosporine,drug2gene,PPIF
Alefacept,drug2gene,CD2
Felypressin,drug2gene,AVPR1A
Urofollitropin,drug2gene,FSHR
Efalizumab,drug2gene,ITGAX
Efalizumab,drug2gene,ITGAL
Choriogonadotropin alfa,drug2gene,LHCGR
Choriogonadotropin alfa,drug2gene,FSHR
Antithymocyte immunoglobulin (rabbit),drug2gene,MR1
Antithymocyte immunoglobulin (rabbit),drug2gene,ITGAL
Antithymocyte immunoglobulin (rabbit),drug2gene,CD86
Antithymocyte immunoglobulin (rabbit),drug2gene,FCGR2B
Antithymocyte immunoglobulin (rabbit),drug2gene,CD4
Antithymocyte immunoglobulin (rabbit),drug2gene,ITGB1
Antithymocyte immunoglobulin (rabbit),drug2gene,ITGAV
Antithymocyte immunoglobulin (rabbit),drug2gene,ITGB3
Filgrastim,drug2gene,CSF3R
Coagulation Factor IX (Recombinant),drug2gene,F10
Coagulation Factor IX (Recombinant),drug2gene,F11
Coagulation Factor IX (Recombinant),drug2gene,F7
Coagulation Factor IX (Recombinant),drug2gene,F8
Becaplermin,drug2gene,PDGFRB
Interferon alfa-2b,drug2gene,IFNAR2
Interferon alfa-2b,drug2gene,IFNAR1
Abarelix,drug2gene,GNRHR
Oxytocin,drug2gene,OXTR
Natalizumab,drug2gene,ITGA4
Daclizumab,drug2gene,IL2RA
Daclizumab,drug2gene,IL2RB
Bevacizumab,drug2gene,VEGFA
Cyanocobalamin,drug2gene,MTR
Cyanocobalamin,drug2gene,MUT
Spermine,drug2gene,SMS
Spermine,drug2gene,SMOX
Adenosine phosphate,drug2gene,PRKAA1
alpha-Linolenic acid,drug2gene,FADS1
alpha-Linolenic acid,drug2gene,FADS2
